id,world,now_stamina,max_stamina,timecount
731713206636249098,n,14,14,30
731713206636249098,f,14,14,30
922999623856042015,f,23,23,23
922999623856042015,n,20,20,23
972801462251946014,f,20,20,23
1003938873929371658,f,20,20,23
978980960311844904,n,13,13,23
978980960311844904,f,25,25,23
303162123088035840,n,15,15,18
303162123088035840,f,19,19,18
553476638986338315,f,14,14,25
553476638986338315,n,16,16,24
999663595988193380,f,13,13,25
420026291153010698,f,12,12,11
890440159953289276,f,14,14,26
928156193820659743,n,24,24,26
928156193820659743,f,16,16,26
890440159953289276,n,14,14,9
