kind,area,info
f1,都市近郊の草原（Lv0から利用可能）,1-50：雑草/51-70：キノコ/71-90：薬草/91-100：タマゴ
f2,エール湖湖畔（Lv1から利用可能）,1-40：雑草/41-50：綺麗な砂/51-60：海藻/61-70：カワガニ/71-80：小エビ/81-90：エビ/91-100：清水
f3,白亜の森（Lv2から利用可能）,1-50：雑草/51-70：薬草/71-85：木立のトウガラシ/86-90：青癒草/91-95：ハチミツ/96-100：カカオ
f4,休火山の麓,1-40：石ころ/41-75：硫黄/76-95：硝石/96-100：魔水晶の破片
f5,妖精の森（Lv4〜）,1-50：なし/51-60：緑癒草/61-70：ヒラタケ/71-80：妖精トンボ/81-95：マボロシドングリ/96-100：マンドラゴラ
eventf,妖精の森〈秋〉,1-70：なにもなし/71-80：カボチャ/81-89：特大ヒラタケ/90-95：マボロシドングリ/96-100：妖精樹の落葉《黄》
n1,中部の草原（Lv0から利用可能）,1-20：雑草/21-50：木の実/51-70：キノコ/71-80：ニンジン/81-90：薬草/91-100：タマゴ
n2,北方の湖畔（Lv1から利用可能）,1-50：雑草/51-60：キノコ/61-80：小えび/81-90：清水/91-100：タマゴ
n3,南方の砂浜（Lv2から利用可能）,1-30：雑草/31-40：綺麗な砂/41-59：サトウキビ/60-70：海藻/71-80：木材（流木）/81-90：えび/91-100：カカオ
n4,西部の荒地（Lv3から利用可能）,1-80：なし/81-90：サボテン/91-100：原油
n5,ウェストキャニオン（Lv4から利用可能）,1-70：なし/71-90：サボテン/91-100：原油
n6,森林地帯（Lv4から利用可能）,1-70：なし/71-90：上質な薬草/91-100：薬用キノコ
eventn,秋の山中,1-70：なにもなし/71-80：そばの実/81-89：椎茸/90-95：毒キノコ/96-100：マツタケ
